番号,回,区分,ID,設問,選択肢1(a),選択肢2(b),選択肢3(c),選択肢4(d),選択肢5(e),正答(K列),正答解析値(L列),正答テキスト(M列)
1,67,N,67-N-001,動物福祉の国際的基準である「5つの自由(5R)」に含まれないのはどれか。,飢えと渇きからの自由,不快からの自由,痛み、傷害、病気からの自由,恐怖や抑圧からの自由,死からの自由,5,5,死からの自由
2,67,N,67-N-002,動物福祉の説明として最も適切なのはどれか。,動物の殺処分を行わないようにする。,動物を人間の福祉向上のために活用する。,動物の利用を認めながら良い状態で生活させる。,動物に人と同等の権利を認め一切の利用を否定する。,動物の疾患の予防と治療を徹底する。,3,3,動物の利用を認めながら良い状態で生活させる。
3,67,N,67-N-003,獣医師が飼い主に動物の安楽死をすすめる際に決定要因となるのはどれか。,動物が治癒に時間がかかる疾患にかかった。,動物が激しい痛みで苦しんでいる。,経済的理由でこれ以上動物を治療できない。,動物を飼育できない家へ転居する。,動物が増えすぎたので数を減らしたい。,2,2,動物が激しい痛みで苦しんでいる。
4,67,N,67-N-004,慢性疾患の犬の飼い主にインターネットで見つけた最新治療法を試してほしいと依頼された。獣医師がまずとるべき対応として適切でないのはどれか。,その治療法の内容を確認せずに、実施できないとその場で断る。,その治療法について知り合いの獣医師に尋ねる。,その治療法について自身でもインターネットで調べる。,自分が治療することが可能かその獣医師に問い合わせる。,往診が可能かその獣医師に問い合わせる。,1,1,その治療法の内容を確認せずに、実施できないとその場で断る。
5,67,N,67-N-005,多数の猫を飼育禁止の住宅で飼っている飼い主への獣医師の対応として適切でないのはどれか。,飼い主が飼育している猫の健康状態を入念にチェックする。,飼い主が飼育による近隣とのトラブルを抱えていないか行政に確認する。,飼育環境や他の猫の様子を聞き問題があれば指導をする。,病院で預かっている飼い主のいない猫の飼育を依頼する。,飼い主に他の猫についても早急に去勢・避妊手術をするよう勧める。,4,4,病院で預かっている飼い主のいない猫の飼育を依頼する。
6,67,N,67-N-006,虐待を受けたと思われる犬を診察した獣医師の対応として適切なのはどれか。,飼い主を問い詰める。,苦痛から解放するため安楽死する。,都道府県や警察に通報する。,飼い主に無断で保護施設に引き渡す。,虐待の証拠を見つけ出し告発する。,3,3,都道府県や警察に通報する。
7,67,N,67-N-007,動物実験における倫理的配慮として適切なのはどれか。,安価な実験方法で行う。,できる限り生きた動物を用いる。,必要最小限の動物を使用する。,実験中は動物が怪我をしても治療しない。,実験中は安楽死を行わない。,3,3,必要最小限の動物を使用する。
8,67,N,67-N-008,「獣医師法」に規定されていないのはどれか。,応召義務(診療に応じる義務),飼育動物の保健衛生の向上に必要な事項の指導義務,診療簿保存義務,診断書交付義務,野生動物の救護義務,5,5,野生動物の救護義務
9,67,N,67-N-009,「獣医師法」第22条で定める届出は何年ごとに行わなければならないか。,1年,2年,3年,5年,10年,2,2,2年
10,67,N,67-N-010,獣医師のみが診療を業務として行える動物はどれか。,オウム科全種,魚類,は虫類,ウサギ,ミンク,1,1,オウム科全種
11,67,N,67-N-011,獣医師のみが受けることができる任用資格はどれか。,食品衛生監視員,薬事監視員,環境衛生指導員,食鳥検査員,毒物劇物監視員,4,4,食鳥検査員
12,67,N,67-N-012,平成26年12月31日現在の我が国の獣医師数に最も近いのはどれか（届出者総数）。,1万人,4万人,8万人,15万人,30万人,2,2,4万人
13,67,N,67-N-013,「動物の愛護及び管理に関する法律」に定められている内容として正しいのはどれか。,動物の科学上の利用は禁じられている。,飼い主のいない犬は愛護動物には含まれない。,動物取扱責任者は獣医師に限られる。,充分な餌や水を与えずに衰弱させる行為は虐待に当たる。,産業動物に対する虐待や遺棄には罰則がない。,4,4,充分な餌や水を与えずに衰弱させる行為は虐待に当たる。
14,67,N,67-N-014,「と畜場法」においてと畜検査の対象でない動物はどれか。,牛,馬,豚,山羊,イノシシ,5,5,イノシシ
15,67,N,67-N-015,「狂犬病予防法」を所管しているのはどれか。,厚生労働省,農林水産省,環境省,経済産業省,内閣府,1,1,厚生労働省
16,67,N,67-N-016,食品の国際規格を定めるのはどれか。,国際獣疫事務局(OIE),国連世界食糧計画(WFP),国連食糧農業機関(FAO),世界貿易機関(WTO),コーデックス委員会(CAC),5,5,コーデックス委員会(CAC)
17,67,N,67-N-017,叢毛胎盤をもつ動物はどれか。,牛,馬,豚,犬,猫,1,1,牛
18,67,N,67-N-018,平滑筋からなるものはどれか。,立毛筋,横隔膜筋部,肋間筋,心筋,固有舌筋,1,1,立毛筋
19,67,N,67-N-019,下垂体前葉が分泌するホルモンはどれか。,アンドロジェン,性腺刺激ホルモン放出ホルモン(GnRH),プロラクチン,オキシトシン,インヒビン,3,3,プロラクチン
20,67,N,67-N-020,一次能動輸送を構成するのはどれか。,Na チャネル,Na+- K+ ポンプ,Na K+-2C1-共輸送体,Na H+アンチポーター,アクアポリン,2,2,Na+- K+ ポンプ
21,67,N,67-N-021,生体膜内外のプロトン勾配を利用して ATP合成を行うのはどれか。,ゴルジ複合体,ミトコンドリア,小胞体,リソソーム,リボソーム,2,2,ミトコンドリア
22,67,N,67-N-022,細胞内情報伝達のセカンドメッセンジャーとして機能するのはどれか。,Gタンパク質,リン酸,トリアシルグリセロール,二酸化窒素,CAMP,5,5,CAMP
23,67,N,67-N-023,「麻薬及び向精神薬取締法」に基づき麻薬に指定されている薬はどれか。,ペンタゾシン,ジアゼパム,ブトルファノール,ケタミン,ブプレノルフィン,4,4,ケタミン
24,67,N,67-N-024,有機リン系殺虫薬はどれか。,プラリドキシム,アレスリン,ジクロルボス,オフロキサシン,クロチアニジン,3,3,ジクロルボス
25,67,N,67-N-025,亜急性脊髄視神経症(SMON)の原因物質はどれか。,キノホルム,サリドマイド,ソリブジン,ストレプトマイシン,クロロキン,1,1,キノホルム
26,67,N,67-N-026,類上皮細胞の由来はどれか。,好中球,好酸球,リンパ球,形質細胞,マクロファージ,5,5,マクロファージ
27,67,N,67-N-027,悪性上皮性腫瘍はどれか。,脂肪腫,血管肉腫,甲状腺腫,乳腺癌,脾腫,4,4,乳腺癌
28,67,N,67-N-028,エンベロープをもたないウイルスはどれか。,口蹄疫ウイルス,ニューカッスル病ウイルス,鳥インフルエンザウイルス,豚コレラウイルス,ウエストナイルウイルス,1,1,口蹄疫ウイルス
29,67,N,67-N-029,DNA ウイルスはどれか。,ニューカッスル病ウイルス,伝染性気管支炎ウイルス,伝染性胃腸炎ウイルス,豚流行性下痢ウイルス,豚サーコウイルス,5,5,豚サーコウイルス
30,67,N,67-N-030,抗体産生細胞はどれか。,好中球,ヘルパーT細胞,NK細胞,形質細胞,キラーT細胞,4,4,形質細胞
31,67,N,67-N-031,ニワトリヌカカによって媒介される家きんの感染症はどれか。,ニューカッスル病,鶏脳脊髄炎,封入体肝炎,伝染性コリーザ,ロイコチトゾーン症,5,5,ロイコチトゾーン症
32,67,N,67-N-032,ウサギのコクシジウムはどれか。,Eimeria tenella,Eimeria stiedai,Eimeria necatrix,Eimeria maxima,Eimeria ovina,2,2,Eimeria stiedai
33,67,N,67-N-033,吸虫の発育環でないのはどれか。,ミラシジウム,レジア,スポロゾイト,セルカリア,スポロシスト,3,3,スポロゾイト
34,67,N,67-N-034,食中毒を起こす細菌はどれか。,ペスト菌,リステリア菌,豚丹毒菌,ジフテリア菌,結核菌,2,2,リステリア菌
35,67,N,67-N-035,細菌性人獣共通感染症はどれか.,腎症候性出血熱,黄熱,パスツレラ症,リーシュマニア症,ヒストプラズマ症,3,3,パスツレラ症
36,67,N,67-N-036,「環境基本法」の定義における「公害」(典型7公害)に含まれないのはどれか。,地盤の沈下,振動,悪臭,廃棄物問題,騒音,4,4,廃棄物問題
37,67,N,67-N-037,「飼養衛生管理基準」が策定されているのはどれか。,みつばち,馬,犬,猫,ウサギ,2,2,馬
38,67,N,67-N-038,症例対照研究について正しいのはどれか。,コホート研究より時間と費用を要する。,前向き研究である。,寄与リスクを算出できる。,暴露状態が正確にわかる。,オッズ比を用いる。,5,5,オッズ比を用いる。
39,67,N,67-N-039,ハインツ小体が出現する血球はどれか。,赤血球,好中球,リンパ球,単球,血小板,1,1,赤血球
40,67,N,67-N-040,犬と猫の体表からの超音波検査で正常な臓器構造の描出が難しいのはどれか。,心臓,肺,眼球,腎臓,脾臓,2,2,肺
41,67,N,67-N-041,牛、馬、豚、羊において、欠乏により白筋症を引き起こすビタミンはどれか。,ビタミンA,ビタミンB1,ビタミンK,ビタミンD,ビタミンE,5,5,ビタミンE
42,67,N,67-N-042,「獣医療法施行規則」に記載された放射線診療従事者等の一年間の実効線量の被ばく線量限度(男性)はどれか。,1ミリシーベルト,10ミリシーベルト,50ミリシーベルト,100ミリシーベルト,1シーベルト,3,3,50ミリシーベルト
43,67,N,67-N-043,測定過大(測定障害)は主にどの部位の病変によって生じるか。,大脳,間脳,脳幹,小脳,脊髄,4,4,小脳
44,67,N,67-N-044,レッグペルテス病に関する記述として適当なのはどれか。,大型犬に発生が多い。,通常両側性に発生する。,跛行症状が認められることはまれである。,大腿骨近位骨端への血液供給障害が原因となる。,大部分の症例が内科的保存療法で治癒する。,4,4,大腿骨近位骨端への血液供給障害が原因となる。
45,67,N,67-N-045,合成非吸収性縫合糸の材料はどれか。,ポリプロピレン,絹糸,ポリジオキサノン,カットグット,ポリグリコネート,1,1,ポリプロピレン
46,67,N,67-N-046,長日季節繁殖動物はどれか。,馬,牛,豚,犬,ラット,1,1,馬
47,67,N,67-N-047,豚の妊娠期間として適当なのはどれか。,約60日,約115日,約150日,約280日,約330日,2,2,約115日
48,67,N,67-N-048,胚盤胞の内部細胞塊から樹立される細胞はどれか。,B細胞,CHO細胞,NK細胞,HeLa 細胞,ES細胞,5,5,ES細胞
49,67,N,67-N-049,魚類の鰓の機能はどれか。,消化,浸透圧調整,浮力調整,聴覚,造血,2,2,浸透圧調整
50,67,N,67-N-050,犬の右側傍胸骨心基部短軸心エコー像における大動脈付近の構造について。,主肺動脈,大動脈,左心房,右心房,右心室,1,1,主肺動脈
1,68,N,68-N-001,「動物の愛護及び管理に関する法律」において愛護動物に該当しないのはどれか。,実験動物として飼育されている「ラット」,家畜として飼育されている「山羊」,野生の「シカ」,動物園で飼育されている「ラクダ」,家庭で飼育されている「カメ」,3,3,野生の「シカ」
2,68,N,68-N-002,獣医師の対応として誤っているのはどれか。,診察した動物が虐待されていると思われたため都道府県知事に通報した。,狂犬病と診断したため直ちに保健所長に届け出た。,飼い主に診療費の不払いがあったが診療依頼に応じた。,外部機関に血液検査を依頼した。,飼い主に電話で問診しただけで診断書を交付した。,5,5,飼い主に電話で問診しただけで診断書を交付した。
3,68,N,68-N-003,老齢の飼い主が老犬を動物病院に連れてきて安楽死させることを求めた。診察してみると健康上の問題はなかった。理由を尋ねると、1か月後に老人ホームに入所予定のため犬を飼えなくなるという。獣医師の対応として最も適切なのはどれか。,それ以上話を聞かずに追い返す。,保健所に連れていくことを勧める。,別の病院を紹介する。,何も言わず直ぐに犬を安楽死する。,新しい飼い主を探すことを勧め、その手伝いをする。,5,5,新しい飼い主を探すことを勧め、その手伝いをする。
4,68,N,68-N-004,犬が行方不明になった飼い主Aのポスターを掲示した後、別の飼い主Bがその犬と酷似した犬を連れて来院した。Bは保護した犬を手放すつもりはないと言う。獣医師の最初の対応として最も適切なのはどれか。,Aと連絡を取るようBを説得する。,Aには何も知らせないで放っておく。,Bとはこれ以上話さず、見つかったことをAに知らせる。,Bには今後この動物病院に来ないことを勧める。,Aを呼んで犬をあきらめるよう説得する。,1,1,Aと連絡を取るようBを説得する。
5,68,N,68-N-005,獣医師が牛の診療中、飼料に無認可の成長促進ホルモン剤が常に添加されていることに気づいた。畜主は無認可であることを知っていた。獣医師が最初にとるべき行動として最も適切なのはどれか。,それ以後はその牧場と関わらないようにする。,飼育している牛を全て食肉処理場へ送るよう勧める。,見なかったことにして何もしない。,すぐに添加をやめるように警告して関連する行政機関に連絡する。,牛の健康状態をチェックして問題がなければ放置する。,4,4,すぐに添加をやめるように警告して関連する行政機関に連絡する。
6,68,N,68-N-006,「獣医師法」において獣医師のみが診療を業務として行える動物として誤っているのはどれか。,牛,山羊,ウサギ,馬,うずら,3,3,ウサギ
7,68,N,68-N-007,「獣医師法」において牛の診療簿の保存期間はどれか。,1年,3年,8年,20年,特に規定はない。,3,3,8年
8,68,N,68-N-008,診療を業務とする獣医師の臨床研修実施について規定している法律はどれか。,獣医師法,獣医療法,家畜伝染病予防法,家畜保健衛生所法,狂犬病予防法,1,1,獣医師法
9,68,N,68-N-009,我が国の牛で1998~2014年に最も発生が多かった疾患はどれか。,炭疽,ヨーネ病,結核,ブルセラ病,伝達性海綿状脳症,2,2,ヨーネ病
10,68,N,68-N-010,動物用医薬品の国家検定を実施している機関はどこか。,独立行政法人農林水産消費安全技術センター,独立行政法人医薬品医療機器総合機構,厚生労働省国立感染症研究所,農林水産省動物医薬品検査所,厚生労働省国立医薬品食品衛生研究所,4,4,農林水産省動物医薬品検査所
11,68,N,68-N-011,動物用医薬品による副作用が発生した場合の報告先はどれか。,厚生労働大臣,農林水産大臣,都道府県知事,消費生活センター,食品安全委員会,2,2,農林水産大臣
12,68,N,68-N-012,公衆衛生行政関連法規に関する記述として正しいのはどれか。,と畜検査員は獣医師である必要はない。,「食品衛生法」には食品添加物に関する規制は含まれない。,食用に供さない獣畜のとさつおよび解体にも、と畜検査が必要である。,鑑札と狂犬病予防注射済票の犬への装着は飼い主の義務である。,飼育犬の登録は「動物の愛護及び管理に関する法律」による義務である。,4,4,鑑札と狂犬病予防注射済票の犬への装着は飼い主の義務である。
13,68,N,68-N-013,2010~2014年の我が国における牛のと畜検査で全部廃棄の原因として最多のものはどれか。,敗血症,尿毒症,膿毒症,黄疸(高度のもの),水腫(高度のもの),5,5,水腫(高度のもの)
14,68,N,68-N-014,食品衛生監視員に関する記述として正しいのはどれか。,食品営業施設への立ち入り検査を実施し、食品の安全性を確認する。,食品営業施設において食品の製造又は加工を衛生的に管理する。,と畜場で生体検査を実施する。,農林水産大臣により任命される。,食品安全基本法に基づく任用資格である。,1,1,食品営業施設への立ち入り検査を実施し、食品の安全性を確認する。
15,68,N,68-N-015,「狂犬病予防法」による輸出入検疫義務動物はどれか。,牛,スカンク,コウモリ,馬,オオカミ,2,2,スカンク
16,68,N,68-N-016,「感染症の予防及び感染症の患者に対する医療に関する法律」により原則として輸入禁止である動物はどれか。,鳥類,ウサギ,タヌキ,キツネ,犬,3,3,タヌキ
17,68,N,68-N-017,犬の上行大動脈から直接続くのはどれか。,下行大動脈,大動脈弓,胸大動脈,腹大動脈,総頚動脈,2,2,大動脈弓
18,68,N,68-N-018,球形に近い脾臓をもつのはどれか。,牛,豚,馬,犬,鶏,5,5,鶏
19,68,N,68-N-019,チロシンからアドレナリンが生合成される経路にある物質はどれか。,アセチルコリン,ドパミン,バソプレッシン,フェニルアラニン,プロラクチン,2,2,ドパミン
20,68,N,68-N-020,下垂体後葉ホルモンはどれか。,プロラクチン,黄体形成ホルモン,成長ホルモン,オキシトシン,卵胞刺激ホルモン,4,4,オキシトシン
21,68,N,68-N-021,水溶性のホルモンはどれか。,グルカゴン,テストステロン,エストロジェン,プロジェステロン,チロキシン,1,1,グルカゴン
22,68,N,68-N-022,アセチルCoAと縮合してクエン酸を生成する物質はどれか。,イソクエン酸,スクシニル CoA,コハク酸,リンゴ酸,オキサロ酢酸,5,5,オキサロ酢酸
23,68,N,68-N-023,アチパメゾールによって作用が拮抗されるのはどれか.,アザペロン,クロルプロマジン,ジアゼパム,アモバルビタール,キシラジン,5,5,キシラジン
24,68,N,68-N-024,マクロライド系抗生物質はどれか。,ゲンタマイシン,アンピシリン,エリスロマイシン,オフロキサシン,ルフェヌロン,3,3,エリスロマイシン
25,68,N,68-N-025,メトヘモグロビン血症を誘発する物質はどれか。,ニトロベンゼン,シアン化水素,サポニン,一酸化炭素,ペニシリン,1,1,ニトロベンゼン
26,68,N,68-N-026,老化により心筋細胞に沈着する色素はどれか。,ヘモジデリン,リポフスチン,ビリルビン,ポルフィリン,メラニン,2,2,リポフスチン
27,68,N,68-N-027,非上皮性悪性腫瘍はどれか。,腺癌,カルチノイド,乳頭腫,線維腫,横紋筋肉腫,5,5,横紋筋肉腫
28,68,N,68-N-028,グラム染色で陽性を示す細菌の属はどれか。,サルモネラ属,バクテロイデス属,バルトネラ属,エンテロコッカス属,アクチノバチルス属,4,4,エンテロコッカス属
29,68,N,68-N-029,2015年に我が国で発生のあった感染症はどれか。,アフリカ豚コレラ,鼻疽,オーエスキー病,ニパウイルス感染症,小反芻獣疫,3,3,オーエスキー病
30,68,N,68-N-030,抗原提示細胞として誤っているのはどれか。,マクロファージ,樹状細胞,B細胞,ランゲルハンス細胞,形質細胞,5,5,形質細胞
31,68,N,68-N-031,原虫によるみつばちの疾患はどれか。,ノゼマ病,チョーク病,バロア病,ヨーロッパ腐蛆病,サックブルード病,1,1,ノゼマ病
32,68,N,68-N-032,中間宿主体内に共尾虫が発育する条虫はどれか。,猫条虫,胞状条虫,無鉤条虫,有鉤条虫,多頭条虫,5,5,多頭条虫
33,68,N,68-N-033,不完全変態を行う昆虫はどれか。,カ,ブユ,ノミ,シラミ,サシバエ,4,4,シラミ
34,68,N,68-N-034,ネズミがレゼルボアとなる人獣共通感染症はどれか。,ニューカッスル病,日本脳炎,ペスト,ヘンドラウイルス感染症,Bウイルス感染症,3,3,ペスト
35,68,N,68-N-035,大腸菌群の定義に当てはまるのはどれか。,グラム陽性,球菌,乳糖分解,芽胞形成,偏性嫌気性,3,3,乳糖分解
36,68,N,68-N-036,シックハウス症候群の主な原因はどれか。,細菌などの微生物,日照時間,動物の毛やふけ,揮発性有機化合物(VOCs),衛生害虫,4,4,揮発性有機化合物(VOCs)
37,68,N,68-N-037,搾乳後の乳頭消毒に適している消毒薬はどれか。,グルタラール,ポピドンヨード,ホルマリン,クレゾール,消石灰,2,2,ポピドンヨード
38,68,N,68-N-038,「特定家畜伝染病防疫指針」が定められている疾患はどれか。,オーエスキー病,家きんコレラ,アフリカ豚コレラ,腐蛆病,豚流行性下痢,3,3,アフリカ豚コレラ
39,68,N,68-N-039,異常低値が肝機能低下を示唆する血液検査項目はどれか。,アンモニア,ALT,アルブミン,総胆汁酸,総ビリルビン,3,3,アルブミン
40,68,N,68-N-040,腎臓から分泌される生理活性物質はどれか。,バソプレッシン,アルドステロン,インスリン,エリスロポエチン,アンギオテンシン II,4,4,エリスロポエチン
41,68,N,68-N-041,馬のワラビ中毒で欠乏するビタミンはどれか。,A,B1,D3,E,K,2,2,B1
42,68,N,68-N-042,筋組織に最も近いX線不透過性を有するのはどれか。,肝臓,脂肪,肺,骨,金属,1,1,肝臓
43,68,N,68-N-043,放射性同位元素を用いた検査はどれか。,MRI検査,陽電子断層撮影(PET)検査,CT検査,超音波検査,X線透視検査,2,2,陽電子断層撮影(PET)検査
44,68,N,68-N-044,内反縫合はどれか。,単純結節縫合,ギャンビー縫合,かがり縫合,レンベルト縫合,水平マットレス縫合,4,4,レンベルト縫合
45,68,N,68-N-045,吸入麻酔薬はどれか。,プロポフォール,フェンタニル,ジアゼパム,ブトルファノール,セボフルラン,5,5,セボフルラン
46,68,N,68-N-046,犬の膝関節において断裂の発生率が最も高い靭帯はどれか。,内側側副靱帯,外側側副靱帯,前十字靭帯,後十字靭帯,膝蓋靱帯,3,3,前十字靭帯
47,68,N,68-N-047,単発情動物はどれか。,犬,猫,馬,豚,めん羊,1,1,犬
48,68,N,68-N-048,雌の発情周期が約4日間である動物はどれか。,猫,山羊,馬,ラット,豚,4,4,ラット
49,68,N,68-N-049,マウスのクローズドコロニーの説明として適切なのはどれか。,一定の集団内のみで繁殖を5年以上継続した系統,特定の突然変異遺伝子をもつ動物同士を交配して維持した系統,異なる系統の動物を交配しながら維持した系統,兄妹交配を20世代以上継続した系統,特定の遺伝子座のみをヘテロに保ちながら近親交配を維持した系統,1,1,一定の集団内のみで繁殖を5年以上継続した系統
50,68,N,68-N-050,硬骨魚類の主な造血組織はどれか。,膵臓,肝臓,鰾,腎臓,真皮,4,4,腎臓
1,69,N,69-N-001,小学校での講演内容として適当でないのはどれか。,牛や豚の治療を行うこと,人獣共通感染症予防がヒトの健康に役立つこと,畜産の生産性を最も重視し、動物愛護を考慮する必要はないこと,食品の安全性確保に貢献すること,家畜の糞尿処理の指導を行うこと,3,3,畜産の生産性を最も重視し、動物愛護を考慮する必要はないこと
2,69,N,69-N-002,犬の無駄吠えを理由に飼い主が声帯切除手術を希望して来院した。対応として最も適切なのはどれか。,すぐに手術を実施する。,まずは動物行動の専門家に相談するように勧める。,しつけの問題であるとして診察を拒否する。,去勢手術を実施する。,安楽死を実施する。,2,2,まずは動物行動の専門家に相談するように勧める。
3,69,N,69-N-003,搾乳牛の往診で口唇周囲にびらんを認め、同居牛にも同様の症状があった。獣医師が最初にとるべき行動として適切なのはどれか。,畜主を叱責し、以後は行かない。,治療牛の乳を廃棄するよう指示する。,保健所へ連絡するか畜主に判断を委ねる。,口蹄疫を疑い、管轄の家畜保健衛生所に連絡する。,消毒して次の往診先へ向かう。,4,4,口蹄疫を疑い、管轄の家畜保健衛生所に連絡する。
4,69,N,69-N-004,入院中に死亡した動物の飼い主に対し、最も慎むべき言葉はどれか。,全力を尽くしたが残念です。,連れて来るのが遅かったので私のせいではありません。,助けられなかったのは悔しいです。,後学のために解剖させてください。,辛い治療によく頑張ってくれました。,2,2,連れて来るのが遅かったので私のせいではありません。
5,69,N,69-N-005,転居して来た飼い主が、前の病院と同じ薬を処方してほしいと飼い主のみで来院した。対応として適切なのはどれか。,聞いたとおりの薬を処方する。,前の医者に連絡して確認し処方する。,まずは当該の犬を連れてくるように伝える。,飼い主だけで来るのは非常識だと言う。,体重を聞いて最新の薬を処方する。,3,3,まずは当該の犬を連れてくるように伝える。
6,69,N,69-N-006,「獣医師法」における獣医師の職務・任務として誤っているのはどれか。,飼育動物に関する診療,動物に関する保健衛生の向上,畜産業の発達,公衆衛生の向上,小動物産業の発達,5,5,小動物産業の発達
