番号,回,区分,ID,設問,選択肢1(a),選択肢2(b),選択肢3(c),選択肢4(d),選択肢5(e),正答(K列),正答解析値(L列),正答テキスト(M列)
7,69,N,69-N-007,獣医師免許及び獣医師名簿に関する記述として正しいのはどれか。,試験合格者は申請なしで免許が交付される。,名簿登録事項の1つに本籍地がある。,登録事項に変更があれば都道府県知事に申請する。,診療施設には免許を掲示しなければならない。,2年ごとに市区町村長に届け出る義務がある。,2,2,名簿登録事項の1つに本籍地がある。
8,69,N,69-N-008,「獣医療法」において、診療施設の開設届は開設の日から何日以内か。,7日,10日,14日,20日,30日,2,2,10日
9,69,N,69-N-009,「獣医療法」において、広告内容として認められているのはどれか。,獣医師の専門科名,手術が他より優良であること,予防注射に要する費用,飼育動物の健康診断に要する費用,著名人が来院していること,1,1,獣医師の専門科名
10,69,N,69-N-010,「動物の愛護及び管理に関する法律」により規定された項目として適当でないのはどれか。,特定動物の飼養許可,動物取扱業者の登録,災害時の動物救護,特定外来生物の飼育,犬および猫の引き取り,4,4,特定外来生物の飼育
11,69,N,69-N-011,大規模災害時および備えにおいて獣医師が果たすべき役割として適切でないのはどれか。,しつけの普及啓発,自治体と協働した家庭動物救護,自治体と協働した産業動物救護,マイクロチップ等による識別支援,医師によるヒトへの医療行為の代行,5,5,医師によるヒトへの医療行為の代行
12,69,N,69-N-012,「家畜伝染病予防法」の「飼養衛生管理基準」が対象としない動物はどれか。,豚,馬,あひる,みつばち,きじ,4,4,みつばち
13,69,N,69-N-013,「と畜場法」の規定に基づく「獣畜」に含まれるのはどれか。,山羊,しか,イノシシ,だちょう,鶏,1,1,山羊
14,69,N,69-N-014,「狂犬病予防法」による犬の登録の申請先はどれか。,都道府県知事,保健所長,家畜保健衛生所長,農林水産大臣,市区町村長,5,5,市区町村長
15,69,N,69-N-015,「食品衛生法」が対象としないのはどれか。,食品添加物,容器包装,食器や食材の洗浄剤,乳幼児用おもちゃ,医薬品,5,5,医薬品
16,69,N,69-N-016,食品を輸入しようとする者が輸入届出書を提出する先はどれか。,市区町村,都道府県,検疫所(厚生労働省),食品安全委員会,地方農政局,3,3,検疫所(厚生労働省)
17,69,N,69-N-017,哺乳類家畜で粘膜に絨毛を有する部位はどれか。,食道,胃底腺部,幽門腺部,十二指腸,結腸,4,4,十二指腸
18,69,N,69-N-018,哺乳類家畜で皮質と髄質が存在する器官はどれか。,甲状腺,上皮小体,胸腺,脾臓,松果体,3,3,胸腺
19,69,N,69-N-019,下垂体後葉から分泌されるホルモンはどれか。,プロラクチン,成長ホルモン,副腎皮質刺激ホルモン,バソプレッシン,サイロキシン,4,4,バソプレッシン
20,69,N,69-N-020,腎臓の糸球体傍細胞から分泌されるのはどれか。,アンギオテンシノーゲン,コルチゾール,アルドステロン,アンギオテンシンI,レニン,5,5,レニン
21,69,N,69-N-021,ステロイドホルモンが合成される主な細胞小器官はどれか。,リソソーム,リボソーム,ゴルジ複合体,粗面小胞体,滑面小胞体,5,5,滑面小胞体
22,69,N,69-N-022,犬の必須アミノ酸でないのはどれか。,イソロイシン,ロイシン,リジン,タウリン,メチオニン,4,4,タウリン
23,69,N,69-N-023,強心作用を示す薬はどれか。,ピモベンダン,プロプラノロール,ベラパミル,アミオダロン,キニジン,1,1,ピモベンダン
24,69,N,69-N-024,解離性麻酔薬はどれか。,チオペンタール,プロポフォール,イソフルラン,アルファキサロン,ケタミン,5,5,ケタミン
25,69,N,69-N-025,貝毒はどれか。,シガトキシン,サキシトキシン,パリトキシン,オクラトキシン,アフラトキシン,2,2,サキシトキシン
26,69,N,69-N-026,骨格筋の死後硬直が最初に発現する部位はどれか。,顎,頚部,躯幹,前肢,後肢,1,1,顎
27,69,N,69-N-027,アミロイドを証明する染色法として適切なのはどれか。,マッソン・トリクローム染色,コンゴ赤染色,グリメリウス法,ベルリン青染色,コッサ反応,2,2,コンゴ赤染色
28,69,N,69-N-028,グラム陰性菌に共通してみられる構造はどれか。,芽胞,ペリプラズム,莢膜,鞭毛,線毛,2,2,ペリプラズム
29,69,N,69-N-029,インフルエンザウイルスがゲノム複製時に使用する酵素はどれか。,トポイソメラーゼ,ノイラミニダーゼ,DNA 依存性RNAポリメラーゼ,RNA 依存性RNAポリメラーゼ,逆転写酵素,4,4,RNA 依存性RNAポリメラーゼ
30,69,N,69-N-030,犬ジステンパーウイルスが属するウイルス科はどれか。,オルトミクソウイルス科,パラミクソウイルス科,ラブドウイルス科,フラビウイルス科,パルボウイルス科,2,2,パラミクソウイルス科
31,69,N,69-N-031,日本脳炎ウイルスの増幅動物はどれか。,馬,牛,豚,ヒト,鶏,3,3,豚
32,69,N,69-N-032,寄生世代と自由生活世代との交代がみられる線虫はどれか。,豚回虫,広東住血線虫,コロンビア腸結節虫,豚腎虫,糞線虫,5,5,糞線虫
33,69,N,69-N-033,Eimeria 属原虫の生活環で宿主体外で形成されるのはどれか。,マクロガメトサイト,スポロゾイト,シゾント,ザイゴート,メロゾイト,2,2,スポロゾイト
35,69,N,69-N-035,寄生虫性食中毒のうち海産魚介類の生食が原因となるのはどれか。,肝蛭症,有鉤嚢虫症,アニサキス症,肺吸虫症,旋毛虫症,3,3,アニサキス症
36,69,N,69-N-036,「水道法」の水質基準で「検出されないこと」とされるのはどれか。,水銀,カドミウム,鉛,大腸菌,赤痢菌,4,4,大腸菌
37,69,N,69-N-037,鶏への生ワクチン投与法として適切でないのはどれか。,噴霧・散霧法,浸漬法,穿刺法,点鼻法,飲水投与,2,2,浸漬法
38,69,N,69-N-038,疫学において観察研究に含まれないのはどれか。,症例対照研究,介入研究,コホート研究,横断研究,生態学的研究,2,2,介入研究
39,69,N,69-N-039,犬の体表(表在) リンパ節はどれか。,浅頚リンパ節,内腸骨リンパ節,腸間膜リンパ節,胸骨リンパ節,脾リンパ節,1,1,浅頚リンパ節
40,69,N,69-N-040,貧血の評価に用いられる血液検査項目はどれか。,白血球数,血小板数,ヘマトクリット(PCV),血清総蛋白濃度,BUN,3,3,ヘマトクリット(PCV)
41,69,N,69-N-041,成牛の消化管で最も容積が大きいのはどれか。,第一胃,第二胃,第三胃,第四胃,盲腸,1,1,第一胃
42,69,N,69-N-042,放射線感受性が最も高い組織・器官はどれか。,筋肉,唾液腺,神経,造血組織,肝臓,4,4,造血組織
43,69,N,69-N-043,核磁気共鳴現象を用いた画像検査法はどれか。,CT検査,X線検査,MRI検査,核医学検査,超音波検査,3,3,MRI検査
44,69,N,69-N-044,並置縫合はどれか。,ギャンビー縫合,レンベルト縫合,クッシング縫合,パーカー・カー縫合,巾着縫合,1,1,ギャンビー縫合
45,69,N,69-N-045,疼痛および鎮痛に関する記述として適切でないのはどれか。,疼痛は生体防御機構として重要である。,疼痛は情動反応も引き起こす。,術後疼痛は血圧維持に有用なので鎮痛すべきでない。,疼痛が持続すると痛覚過敏になりやすい。,マルチモーダル鎮痛が有用である。,3,3,術後疼痛は血圧維持に有用なので鎮痛すべきでない。
46,69,N,69-N-046,術野の皮膚消毒に用いる薬剤として適当なのはどれか。,フェノール,エチレンオキシド,クロルヘキシジン,グルタールアルデヒド,第4級アンモニウム塩,3,3,クロルヘキシジン
47,69,N,69-N-047,馬の妊娠期間として適当なのはどれか。,約60日,約115日,約150日,約280日,約335日,5,5,約335日
48,69,N,69-N-048,豚の胎盤はどれか。,上皮絨毛胎盤,結合織絨毛胎盤,内皮絨毛胎盤,血絨毛絨毛性胎盤,血絨毛迷路性胎盤,1,1,上皮絨毛胎盤
49,69,N,69-N-049,セグリゲイティング近交系の定義として正しいのはどれか。,特定の遺伝子座のみヘテロに保ち近親交配を継続した系統,特定の変異遺伝子型を有している系統,兄妹交配を20世代以上行った系統,5年以上一定集団内のみで繁殖される動物群,遺伝背景を他の系統に置き換えた系統,1,1,特定の遺伝子座のみヘテロに保ち近親交配を継続した系統
50,69,N,69-N-050,真骨魚類のリンパ器官はどれか。,脳,鰾,胃,肝臓,腎臓,5,5,腎臓
1,70,N,70-N-001,獣医師が友人と一緒に海外旅行へ行った時に、市中の食料品店で豚肉加工製品のソーセージを土産に買って帰りたいと相談された。獣医師の対応として最も適切なのはどれか。,自宅に少量持ち帰るなら問題ないと答える。,正規の手続きを踏んでいないものは持ち帰らないよう勧める。,においが漏れないように梱包することを助言する。,よくわからないので自分で判断してくれと答える。,見つからなければ大丈夫と持ち帰りを勧める。,2,2,正規の手続きを踏んでいないものは持ち帰らないよう勧める。
2,70,N,70-N-002,ある農家で繁殖の定期検診を終えた後、農家の人から一週間前に別の同僚の獣医師が手術を行った搾乳牛の元気がないとのことで診察を依頼された。確認したところ手術創が化膿しており、ガーゼが残っていた。獣医師がとるべき行動として正しいのはどれか。,ガーゼは飼い主に見られないようにすぐ廃棄する。,化膿した手術創をそのままにする。,処置はすべて終了したため診療所には報告はしない。,手術ミスであることを農家に説明して謝罪する。,同僚獣医師には黙っておく。,4,4,手術ミスであることを農家に説明して謝罪する。
3,70,N,70-N-003,産業動物診療施設に勤務する同僚の獣医師が夏休みに東南アジアへ旅行する予定があるが、診療施設には話していないと聞いた。獣医師として正しい言動はどれか。,私的な行動なので知らないふりをする。,汚染国でも滅多に病原体は付着しないので好きな場所に行くことを勧める。,海外旅行に行くことを予め上司に報告すべきと忠告する。,帰国後は人手が足りないのですぐに診療に回ってもらうと伝える。,海外で着た服等は見た目がきれいなら何も処置はしなくてよいと伝える。,3,3,海外旅行に行くことを予め上司に報告すべきと忠告する。
4,70,N,70-N-004,飼い主に対して問診を行う際の心がけとして適当でないのはどれか。,飼い主の視点に立つ。,客観性を持つ。,立ち姿や言葉などで威圧し獣医師としての威厳を保つ。,詳細で丁寧、具体的な問診を行う。,系統的に聴取することで聞き洩らしを防ぐ。,3,3,立ち姿や言葉などで威圧し獣医師としての威厳を保つ。
5,70,N,70-N-005,ミニチュア・ダックスフンド、5歳齢。進行性網膜萎縮による失明と診断した。飼い主は愛犬が失明したことを嘆き、途方に暮れている。獣医師の対応として適切なのはどれか。,もう何もできることはないので今後病院に来る必要はないと伝える。,愛犬が散歩に行きたがっても散歩に行ってはならないと指導する。,飼い主の意向を無視して安楽死を行う。,注意が散漫だったことを非難する。,これからの生活の中での不安を聞きできる限り対応や提案を行う。,5,5,これからの生活の中での不安を聞きできる限り対応や提案を行う。
6,70,N,70-N-006,飼い猫に拳大の乳腺癌が自壊し肺転移による呼吸困難も伴って苦しんでいる姿に耐えられないと、安楽死を希望する飼い主が来院。獣医師の対応として適切なのはどれか。,動物愛護団体に引き取ってもらうようにいう。,動物愛護センターに連れて行くようにいう。,放置しても自然に亡くなるから安楽死は必要ないという。,状況に関係なく治療を続けることが飼い主の務めであると説得する。,猫を十分診察した上で安楽死について説明し、実施する。,5,5,猫を十分診察した上で安楽死について説明し、実施する。
7,70,N,70-N-007,畜産分野の獣医師に期待される役割として適当でないのはどれか。,家畜の健康を維持するため疾病予防プログラムや疾病治療を実施する。,畜産物の安全性を確保するため農場における生産工程管理を指導する。,畜産経営の向上のため新しい技術情報等を生産者に提供する。,診療施設の利益を優先して利益が少ない治療は行わない。,獣医学的知識や技術を活かしてアニマルウェルフェアの普及を図る。,4,4,診療施設の利益を優先して利益が少ない治療は行わない。
8,70,N,70-N-008,「家畜伝染病予防法」で定められている家畜伝染病はどれか。,結核病,牛白血病,オーエスキー病,ニパウイルス感染症,マレック病,1,1,結核病
9,70,N,70-N-009,産業動物のアニマルウェルフェア基準に関する検討を行いガイドラインを策定している国際機関はどれか。,FAO(国連食糧農業機関),WHO(世界保健機関),ILRI(国際家畜研究所),WFP(国連世界食糧計画),OIE(国際獣疫事務局),5,5,OIE(国際獣疫事務局)
10,70,N,70-N-010,食品安全委員会の役割として正しいのはどれか。,リスク管理の実施,消費者を含めない専門家だけのリスクコミュニケーション,リスク評価に基づいた施策の策定,食品健康影響評価,食品表示基準の運用,4,4,食品健康影響評価
11,70,N,70-N-011,特定家畜伝染病防疫指針が定められていない疾病はどれか。,高病原性鳥インフルエンザ,口蹄疫,豚コレラ,牛海綿状脳症,牛白血病,5,5,牛白血病
12,70,N,70-N-012,「狂犬病予防法」に基づいて輸出入検疫を実施している動物はどれか。,牛,サル,ウサギ,タヌキ,スカンク,5,5,スカンク
13,70,N,70-N-013,獣医師がサルをマールブルグ病と診断した時に届け出る機関として「感染症の予防及び感染症の患者に対する医療に関する法律」で定められているのはどこか。,保健所,家畜保健衛生所,動物検疫所,検疫所,国立感染症研究所,1,1,保健所
14,70,N,70-N-014,国内において農場での高病原性鳥インフルエンザ発生時の防疫措置として正しいのはどれか。,発生鶏舎にいる健康個体への農場雇用の獣医師によるワクチン接種,発生鶏舎以外の鶏舎にいる鶏の遠方農場への避難,アルコールによる鶏舎の消毒,家きんの死体の放置,発生農場周辺における通行制限または遮断,5,5,発生農場周辺における通行制限または遮断
15,70,N,70-N-015,「獣医師法」で定められた診療動物とその診療簿の保存期間の組合せとして正しいのはどれか。,鶏 - 8年間,めん羊 - 8年間,犬 - 8年間,山羊 - 3年間,牛 - 3年間,2,2,めん羊 - 8年間
16,70,N,70-N-016,「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律」で定められた毒薬又は劇薬に関する記述として適当でないのはどれか。,毒薬は容器等に「毒」の文字が記載されている。,劇薬は容器等に「劇」の文字が記載されている。,毒薬は帳簿を作成して在庫管理をする等の対応が求められる。,毒薬または劇薬は他の物と一緒に貯蔵してもよい。,毒薬を貯蔵する場所には鍵を施さなければならない。,4,4,毒薬または劇薬は他の物と一緒に貯蔵してもよい。
17,70,N,70-N-017,結腸ラセンワナをもつ動物はどれか。,馬,牛,犬,ウサギ,鶏,2,2,牛
18,70,N,70-N-018,喉嚢(耳管憩室)が見られる動物はどれか.,牛,馬,豚,犬,鶏,2,2,馬
19,70,N,70-N-019,杆体の視物質はどれか。,ロドプシン,メラトニン,フェロモン,グルタミン酸,アセチルコリン,1,1,ロドプシン
20,70,N,70-N-020,嘔吐中枢が存在する部位はどれか。,視床下部,下垂体,海馬,小脳,延髄,5,5,延髄
21,70,N,70-N-021,ステロイドホルモンの前駆物質はどれか。,グルコース,アミノ酸,コレステロール,デオキシリボ核酸,リボ核酸,3,3,コレステロール
22,70,N,70-N-022,脂肪酸を分解しアセチルCoAを生成する代謝反応 (経路)はどれか。,β酸化,ペントースリン酸経路,酸化的リン酸化,解糖,クエン酸回路,1,1,β酸化
23,70,N,70-N-023,非ステロイド系抗炎症薬はどれか。,カルプロフェン,ヒドロコルチゾン,デキサメサゾン,アロプリノール,ブプレノルフィン,1,1,カルプロフェン
24,70,N,70-N-024,ムスカリン受容体拮抗薬はどれか。,ネオスチグミン,アトロピン,プラリドキシム,ベタネコール,レセルピン,2,2,アトロピン
26,70,N,70-N-026,貧血性梗塞を起こしやすい臓器の組合せとして適切なのはどれか。,肺・腸,肺・肝臓,腸・心臓,心臓・腎臓,腎臓・肝臓,4,4,心臓・腎臓
27,70,N,70-N-027,心臓病細胞の由来はどれか。,好中球,II型肺胞上皮,肺胞マクロファージ,心筋細胞,血管内皮細胞,3,3,肺胞マクロファージ
28,70,N,70-N-028,小反芻獣疫ウイルスが属するウイルス科はどれか。,オルトミクソウイルス,パラミクソウイルス,ピコルナウイルス,ラブドウイルス,トガウイルス,2,2,パラミクソウイルス
29,70,N,70-N-029,オーエスキー病ウイルスが属するウイルス科はどれか。,ヘルペスウイルス,ポックスウイルス,アスファウイルス,フラビウイルス,パルボウイルス,1,1,ヘルペスウイルス
30,70,N,70-N-030,2011年に地球上から撲滅宣言された動物の疾患はどれか。,豚コレラ,アフリカ豚コレラ,口蹄疫,牛疫,ブルータング,4,4,牛疫
31,70,N,70-N-031,破傷風抗毒素血清による予防・治療はどの効果を期待するか。,液性免疫,細胞性免疫,自然免疫,受身免疫,母子免疫,4,4,受身免疫
32,70,N,70-N-032,牛の糞便内虫卵検査により検出できる寄生虫はどれか。,ブルーストリパノソーマ,小型ピロプラズマ,指状糸状虫,小形膵蛭,単包条虫,4,4,小形膵蛭
33,70,N,70-N-033,節足動物を中間宿主とするのはどれか。,有鉤条虫,猫条虫,犬条虫(瓜実条虫),多包条虫,胞状条虫,3,3,犬条虫(瓜実条虫)
34,70,N,70-N-034,リケッチアに起因する人獣共通感染症はどれか。,リーシュマニア症,オウム病,日本紅斑熱,ヒストプラズマ症,鼠咬症,3,3,日本紅斑熱
35,70,N,70-N-035,鶏肉の生食が原因となることが多い食中毒はどれか。,腸炎ビブリオ食中毒,カンピロバクター食中毒,ノロウイルス食中毒,セレウス菌食中毒,ブドウ球菌食中毒,2,2,カンピロバクター食中毒
36,70,N,70-N-036,医療関係機関等から発生する産業廃棄物として誤っているのはどれか。,凝固血液,ゴム製手袋,アルコール,血清,実験動物の死体,5,5,実験動物の死体
37,70,N,70-N-037,乳房炎の予防対策として適当でないのはどれか。,搾乳直後にディッピングを行う。,牛舎内を清潔に保つ。,乾乳期治療を行う。,感染牛の搾乳を最初に行う。,抗生物質を適正に使用する。,4,4,感染牛の搾乳を最初に行う。
38,70,N,70-N-038,放牧地の管理として適当でないのはどれか。,暑熱から回避できる庇陰林を配置する。,入牧前には牛の健康や栄養状態を調べる。,有毒植物をできる限り除去する。,牛を切株や鋭利な岩石などに近づけないようにする。,栄養価が高いマメ科牧草を増やすようにする。,5,5,栄養価が高いマメ科牧草を増やすようにする。
39,70,N,70-N-039,成犬の正常歯列として正しい（上顎/下顎）組合せはどれか。,切歯3/3 犬歯1/1 前臼歯3/3 後臼歯3/3,切歯3/3 犬歯1/1 前臼歯3/3 後臼歯3/3,切歯3/3 犬歯1/1 前臼歯4/4 後臼歯2/3,切歯3/3 犬歯1/1 前臼歯4/4 後臼歯3/3,切歯3/3 犬歯1/1 前臼歯4/4 後臼歯3/3,5,5,切歯3/3 犬歯1/1 前臼歯4/4 後臼歯3/3
40,70,N,70-N-040,犬と猫の直腸温として正常範囲内にあるのはどれか。,35.5℃,36.2℃,37.0℃,38.6℃,39.8℃,4,4,38.6℃
41,70,N,70-N-041,腹部聴打診で金属性有響音(ピング音)を特徴とする牛の疾患はどれか。,第一胃食滞,第一胃アシドーシス,創傷性第二胃腹膜炎,第三胃食滞,第四胃変位,5,5,第四胃変位
42,70,N,70-N-042,放射線の吸収線量を表す単位はどれか。,C/kg,Gy,Bq,Sv,R,2,2,Gy
43,70,N,70-N-043,放射線障害のうち確率的影響はどれか。,白血病,脱毛,白内障,放射線肺炎,皮膚紅斑,1,1,白血病
44,70,N,70-N-044,壊死組織を除去することで創を清潔・新鮮化し、治癒を促進するための外科処置はどれか。,ドレッシング,スクラビング,ドレナージ,バンデージング,デブリードマン,5,5,デブリードマン
45,70,N,70-N-045,手術に用いるドレープの役割として最も適切なのはどれか。,アルコールの蒸発を防ぐ,皮膚常在菌の増殖抑制,術中の放熱促進,手術部位周囲に清潔野をつくり維持する,手術部位を見やすくする,4,4,手術部位周囲に清潔野をつくり維持する
46,70,N,70-N-046,全身麻酔に求められる要素として適切でないのはどれか。,意識喪失,鎮痛,各種脊髄反射の維持,不動,安全,3,3,各種脊髄反射の維持
47,70,N,70-N-047,交尾排卵動物はどれか。,牛,馬,豚,犬,ウサギ,5,5,ウサギ
48,70,N,70-N-048,黄体退行作用をもつのはどれか。,GnRH,FSH,hCG,PGF2a,プロラクチン,4,4,PGF2a
49,70,N,70-N-049,SPF 動物の定義として正しいのはどれか。,すべての微生物・寄生虫がいない,微生物叢が不明,特に指定された微生物・寄生虫がいない,帝王切開で無菌飼育している,特定の微生物を定着させた,3,3,特に指定された微生物・寄生虫がいない
50,70,N,70-N-050,真骨魚類の浸透圧調節に働く塩類細胞はどこに存在するか。,鰓,腸,肝臓,腎臓,皮膚,1,1,鰓
1,71,N,71-N-001,定期的に来院している犬の飼い主が怪我をしているスズメを保護して治療をしてほしいと来院。獣医師の対応として最も適切なのはどれか。,野生鳥獣は専門外のため追い返す。,飼い主とは良好な関係を続けたいので法律の説明はせず治療を行う。,面倒なので元の場所に戻すように指示する。,人獣共通感染症に罹患している可能性も踏まえて衛生指導を行う。,診察はせず以前飼い犬に処方した外用薬を塗布するよう伝える。,4,4,人獣共通感染症に罹患している可能性も踏まえて衛生指導を行う。
2,71,N,71-N-002,手術を行う際に飼い主のインフォームド・コンセントを得る方法として最も適切なのはどれか。,同じ手術で失敗したことはないと強調し合併症については説明しない。,診断名と手術方法を告げるので自分で調べて判断するよう伝える。,正確な表現をするため専門用語のみを用いて説明する。,細かな説明はせずに同意書にサインをもらう。,手術の必要性と危険性についてわかりやすく説明する。,5,5,手術の必要性と危険性についてわかりやすく説明する。
3,71,N,71-N-003,治療を続けていた猫を亡くした飼い主が、2週間経っても悲しい気持ちが続いてしまい悩んでいると来院。獣医師の対応として最も適切なのはどれか。,猫は寿命が短いから仕方がないとだけ伝える。,猫のことは早々に忘れて次の動物を飼うように勧める。,とにかく我慢するしかないと諭す。,共に暮らした動物の死を悲しむことは当然であると共感を示す。,仕事が忙しいので別の人に聞いてもらうよう対応を拒否する。,4,4,共に暮らした動物の死を悲しむことは当然であると共感を示す。
4,71,N,71-N-004,ある農場の繁殖検診に行った際、痩せて衰弱した牛を目にした。管理者に聞くと長期不受胎の牛が数日前から起立不能になったが、連休明けには廃用予定のため特に治療もせず放置しているとのこと。獣医師として最も適切な対応はどれか。,牛を命あるものとして扱っていないことを頭ごなしに強く叱責する。,管理者の同意を得ることなく輸液などの治療を実施する。,起立不能になった牛は無視して繁殖検診のみを実施する。,廃用予定であっても必要な治療をするように説得する。,管理者に黙って安楽殺を行う。,4,4,廃用予定であっても必要な治療をするように説得する。
5,71,N,71-N-005,管理獣医師として養豚場を巡回した際に、最近になって使用禁止となった飼料添加物を含む飼料が保管されていた。管理者に聞いたところ「捨てるのはもったいないので、在庫分は使い切るつもりだ」と答えた。獣医師の対応として最も適切なのはどれか。,当該飼料の扱いは管理者に任せて何も指示しない。,なるべく早く使い切るように助言する。,使用禁止の意味を説明し速やかに廃棄するよう指導する。,使用すれば法令違反であると強く叱責する。,子豚にのみ使用して出荷の近い肥育豚には与えないように注意を促す。,3,3,使用禁止の意味を説明し速やかに廃棄するよう指導する。
