番号,回,区分,ID,設問,選択肢1(a),選択肢2(b),選択肢3(c),選択肢4(d),選択肢5(e),正答(K列),正答解析値(L列),正答テキスト(M列)
5,73,N,73-N-005,100頭規模の牛農場で治療中の甚急性乳房炎の牛が2頭死亡した。獣医師の対応として最も適切なのはどれか。,搾乳衛生の改善を管理者に指導する。,死亡した牛を直ちに敷地内に埋めるように指示をする。,飼養管理が悪いと管理者を叱責する。,都道府県知事に届ける。,全頭に抗菌薬を予防的に注射する。,1,1,搾乳衛生の改善を管理者に指導する。
6,73,N,73-N-006,牛を繁殖検診した結果、「妊娠していない」と診断しPGF2aを注射したが、数日後に流産してしまった。この獣医師がとるべき行動として適切でないのはどれか。,農場の管理者に事情を説明して誤診を謝罪する。,自分には責任がないので無視する。,上司や先輩にアドバイスを求める。,この牛の次の妊娠にむけて努力する。,誤診の原因を明確にし診断技術の向上に努める。,2,2,自分には責任がないので無視する。
7,73,N,73-N-007,動物検疫所の役割について誤っているのはどれか。,口蹄疫等の伝染性疾病の侵入防止を目的とした家畜等の輸入検査,国内での家畜伝染病発生時の防護服などの防疫資材の貸付,狂犬病の侵入防止を目的とした犬猫等の輸入検査,エボラ出血熱やマールブルグ病の侵入防止を目的としたヒトの入国検査,コイヘルペスウイルス等の侵入防止を目的とした水産動物の輸入許可,4,4,エボラ出血熱やマールブルグ病の侵入防止を目的としたヒトの入国検査
8,73,N,73-N-008,「獣医師法」において獣医師のみが診療を業務とすることができるのはどれか。,ウサギ,しか,だちょう,あひる,うずら,5,5,うずら
9,73,N,73-N-009,「と畜場法」において獣畜に定められているのはどれか。,鶏,馬,だちょう,イノシシ,しか,2,2,馬
10,73,N,73-N-010,食品衛生監視員を採用している行政機関はどれか。,農林水産省,内閣府食品安全委員会,厚生労働省,消費者庁,環境省,3,3,厚生労働省
11,73,N,73-N-011,「狂犬病予防法」の検疫対象動物はどれか。,牛,馬,だちょう,あらいぐま,サル,4,4,あらいぐま
12,73,N,73-N-012,「家畜伝染病予防法」において家畜伝染病に指定されているのはどれか。,アフリカ豚熱,破傷風,豚流行性下痢,牛伝染性鼻気管炎,類鼻疽,1,1,アフリカ豚熱
13,73,N,73-N-013,「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律(薬機法)」に規定されている内容として正しいのはどれか。,毒劇物に関する表示や貯蔵,獣医師による副作用の報告,覚せい剤原料の譲り渡し及び譲り受け、保管、廃棄,エックス線装置の定期検査,動物薬事監視員による食品、添加物、器具及び容器包装の表示又は広告に係る監視指導,2,2,獣医師による副作用の報告
14,73,N,73-N-014,「獣医師法」における牛の診療簿の保存期間として正しいのはどれか。,4年間,5年間,6年間,7年間,8年間,5,5,8年間
15,73,N,73-N-015,動物愛護を担当する主な行政機関はどれか。,農林水産省,厚生労働省,文化庁,内閣府,環境省,5,5,環境省
16,73,N,73-N-016,国際獣疫事務局(OIE)の活動として正しいのはどれか。,人の健康水準を向上させ、感染症対策を行う。,貿易における国際通商ルールを協議する。,食品規格を作成し、消費者の健康保護及び公正な食品貿易を確保する。,動物衛生の向上を目的とし、動物疾病に関する情報を提供する。,飢餓の撲滅を目的とし、世界の農林水産業に関する情報を提供する。,4,4,動物衛生の向上を目的とし、動物疾病に関する情報を提供する。
17,73,N,73-N-017,子宮腔を左右に仕切る中隔(子宮帆)が最も発達している動物はどれか。,牛,馬,豚,犬,猫,1,1,牛
18,73,N,73-N-018,犬の上顎における永久歯列を示す歯式はどれか。,33,2033,3133,3142,3143,4,4,3142
19,73,N,73-N-019,赤血球の造血因子はどれか。,アルブミン,エリスロポエチン,ヒスタミン,トロンボポエチン,コロニー刺激因子,2,2,エリスロポエチン
20,73,N,73-N-020,腸管でカルシウムの吸収を促進するのはどれか。,ビタミンA,ビタミンB1,ビタミンB12,ビタミンD,ビタミンK,4,4,ビタミンD
21,73,N,73-N-021,甲状腺ホルモンの成分となる元素はどれか。,コバルト,銅,鉄,カルシウム,ヨウ素,5,5,ヨウ素
22,73,N,73-N-022,デンプンを構成する単糖はどれか。,スクロース,マンノース,ガラクトース,グルコース,ラクトース,4,4,グルコース
23,73,N,73-N-023,麻薬性鎮痛薬はどれか。,ヘキサメトニウム,プロメタジン,フェンタニル,ニコチン,アスピリン,3,3,フェンタニル
24,73,N,73-N-024,吸入麻酔薬の効力を比較する指標はどれか。,MAC,PAE,MBC,MIC,AUC,1,1,MAC
25,73,N,73-N-025,プロスタグランジン生成を阻害して消化管粘膜を傷害するのはどれか。,インドメタシン,エタノール,シスプラチン,シガトキシン,スクラルファート,1,1,インドメタシン
26,73,N,73-N-026,真菌の検出に用いられる組織染色法として適切なのはどれか。,グリメリウス法,グロコット染色,マッソン・トリクローム染色,チール・ネルゼン染色,リンタングステン酸ヘマトキシリン(PTAH)染色,2,2,グロコット染色
27,73,N,73-N-027,ピンク歯がみられる疾患はどれか。,ヘモジデローシス,ニーマン・ピック病,一酸化炭素中毒,セロイド・リポフスチン沈着症,ポルフィリン症,5,5,ポルフィリン症
28,73,N,73-N-028,抗体産生能をもつ細胞はどれか。,好塩基球,好中球,形質細胞,樹状細胞,好酸球,3,3,形質細胞
29,73,N,73-N-029,豚熱の原因ウイルスが属するウイルス科はどれか。,アスファウイルス科,サーコウイルス科,フラビウイルス科,レオウイルス科,アデノウイルス科,3,3,フラビウイルス科
31,73,N,73-N-031,偏性嫌気性菌はどれか。,大腸菌,ボツリヌス菌,緑膿菌,炭疽菌,ヨーネ菌,2,2,ボツリヌス菌
32,73,N,73-N-032,ヒトを終宿主とする寄生虫はどれか。,ベネデン条虫 (Moniezia benedeni),有鉤条虫(Taenia solium),胞状条虫(Taenia hydatigena),葉状条虫(Anoplocephala perfoliata),多包条虫(Echinococcus multilocularis),2,2,有鉤条虫(Taenia solium)
33,73,N,73-N-033,終宿主体内で単為生殖を行う寄生虫はどれか。,糞線虫(Strongyloides stercoralis),旋毛虫(Trichinella spiralis),多包条虫(Echinococcus multilocularis),犬回虫(Toxocara canis),日本住血吸虫(Schistosoma japonicum),1,1,糞線虫(Strongyloides stercoralis)
34,73,N,73-N-034,食品の「特定原材料」として表示が義務づけられているのはどれか。,アーモンド,カシューナッツ,くるみ,大豆,落花生,5,5,落花生
35,73,N,73-N-035,有病率(有病割合)を調べるための疫学研究手法はどれか。,記述疫学,症例対照研究,コホート研究,横断研究,生態学的研究,4,4,横断研究
36,73,N,73-N-036,リーシュマニア症の病原体を媒介する節足動物はどれか。,ツェツェバエ,サシチョウバエ,ヌカカ,サシガメ,ツツガムシ,2,2,サシチョウバエ
37,73,N,73-N-037,我が国で緊急時にのみ使用する目的でワクチンが備蓄されている感染症はどれか。,口蹄疫,牛海綿状脳症,馬伝染性貧血,豚の流行性脳炎,狂犬病,1,1,口蹄疫
38,73,N,73-N-038,リスク評価に基づき家畜に対する抗菌薬の使用を制限する行政機関はどれか。,厚生労働省,内閣府食品安全委員会,農林水産省,環境省,消費者庁,3,3,農林水産省
39,73,N,73-N-039,原発疹はどれか。,潰瘍,痂皮,脱毛,水疱,鱗屑,4,4,水疱
40,73,N,73-N-040,尿濃縮能を評価する尿検査項目はどれか。,比重,pH,タンパク,潜血,ウロビリノーゲン,1,1,比重
41,73,N,73-N-041,牛に棒状磁石を経口投与する目的として適切なのはどれか。,第一胃の蠕動改善,第一胃液pHの安定,持続的なミネラル供給,経口摂取した金属異物による傷害の予防,消化管血流の改善,4,4,経口摂取した金属異物による傷害の予防
42,73,N,73-N-042,発光物質を含む有機溶媒に試料を入れて放射線量を測定する方法はどれか。,比例計数管,液体シンチレーションカウンター,ガラス蛍光線量計,GM 計数管,熱ルミネッセンス線量計,2,2,液体シンチレーションカウンター
43,73,N,73-N-043,電子を金属に衝突させた際に原子から発生する電磁波はどれか。,アルファ線,ベータ線,X線,中性子線,電子線,3,3,X線
44,73,N,73-N-044,雄犬の腹部手術の準備に関する記述として適切でないのはどれか。,麻酔導入後にバリカンで毛を刈る。,カミソリで切開予定部を剃毛する。,クロルヘキシジンで術野を消毒する。,包皮内をポビドンヨードで洗浄する。,切開予定部から術野の辺縁に向かって消毒する。,2,2,カミソリで切開予定部を剃毛する。
45,73,N,73-N-045,鋼製手術器具の滅菌方法として最も適当なのはどれか。,ホルマリンによる燻蒸,煮沸消毒,高圧蒸気,次亜塩素酸ナトリウムへの浸漬,アルコールによる清拭,3,3,高圧蒸気
46,73,N,73-N-046,犬の分離不安に関する記述として正しいのはどれか。,我が国で認可されている動物用治療補助薬はない。,外出後3時間から6時間に徴候が発現することが多い。,家族との愛着関係が弱いことが病因として挙げられる。,犬用トイレ以外での排泄行動がみられることもある。,外出前後に愛情表現をしっかり示し、留守中の不安を減弱するよう指導する。,4,4,犬用トイレ以外での排泄行動がみられることもある。
47,73,N,73-N-047,豚の妊娠期間として適当なのはどれか。,63日,114日,150日,280日,335日,2,2,114日
48,73,N,73-N-048,牛のLHサージから排卵までの時間として最も適切なのはどれか。,6時間,18時間,28時間,42時間,54時間,3,3,28時間
49,73,N,73-N-049,ツボカビ科の真菌の感染に注意して取り扱うべき実験動物はどれか。,プラナリア,アフリカツメガエル,ゼブラフィッシュ,ショウジョウバエ,線虫,2,2,アフリカツメガエル
50,73,N,73-N-050,魚類の鰓において餌生物をこしとる構造はどれか。,鰓耙,鰓弁,二次鰓弁(鰓薄板),鰓弓,鰓蓋,1,1,鰓耙
1,74,N,74-N-001,猫を飼育している高齢で一人暮らしの飼い主が事故で歩行困難となり、十分な世話ができなくなったと相談を受けた。獣医師の対応として適切でないのはどれか。,獣医師が判断することではないので、警察に相談するよう伝える。,獣医師が猫をいったん預かり、飼い主の意思を確認したのち、所有権を放棄できることを伝える。,猫の所有権に関して飼い主に確認をとり、譲渡希望するなら団体等に連絡し譲渡先を探してもらう。,保健所や動物愛護管理センターに相談するように伝える。,家族に連絡を取ってもらい、猫を預かってもらう。,1,1,獣医師が判断することではないので、警察に相談するよう伝える。
2,74,N,74-N-002,獣医師として飼い主と良好なコミュニケーションを行うために適切なのはどれか。,飼い主の説明に十分な注意を払わない。,カルテをじっくり見ながら説明をする。,診断結果について丁寧に説明し、費用については治療後に分かると伝える。,治療方針を詳細に説明し同意を得る。,なるべく専門用語を用いて病状を説明する。,4,4,治療方針を詳細に説明し同意を得る。
3,74,N,74-N-003,獣医師の職業倫理に反するのはどれか。,離島なのでオンライン診療で対応した。,緊急時に診療せずに薬を処方した。,診療代金が高額なので分割で支払いたいとの依頼に応じた。,珍しい症例について飼い主の同意を得てSNSに掲載した。,他の獣医師の不適切な診療行為について本人に忠告した。,2,2,緊急時に診療せずに薬を処方した。
4,74,N,74-N-004,産業動物の獣医師の役割として最も不適切なのはどれか。,産業動物福祉に関する概念を一般社会に普及・啓発する。,抗菌剤の積極的使用により早期治療を実施する。,家畜の健康のみならず、畜産物としての安全性を熟知する。,産業動物の農場における飼養管理技術を指導する。,使用薬剤の出荷制限に関する知識を兼ね備える。,2,2,抗菌剤の積極的使用により早期治療を実施する。
5,74,N,74-N-005,動物福祉に関する記述として正しいのはどれか。,動物の権利は人の権利と同等であるという考えが基本となる。,動物愛護と同じ意味を持ち、弱者である動物を守る考えである。,動物の健康を守ることと動物福祉の考え方には関連性はない。,動物福祉対策は野生動物に対して適用する必要がない。,OIEでは「5つの自由」は動物福祉を考える上で役立つ指針とされている。,5,5,OIEでは「5つの自由」は動物福祉を考える上で役立つ指針とされている。
6,74,N,74-N-006,産業動物福祉の概念に該当しないのはどれか。,飼料や水は発育段階にあわせて十分に与える。,飼養施設は動物や昆虫の侵入を防ぐため換気しない。,痛みを伴うおそれのある処置を行う際は苦痛を緩和する。,家畜が休息するために必要なスペースを確保する。,家畜の輸送を行う場合は輸送時間を最小限とする。,2,2,飼養施設は動物や昆虫の侵入を防ぐため換気しない。
7,74,N,74-N-007,「家畜伝染病予防法」において家畜伝染病に指定されているのはどれか。,アナプラズマ症,アカバネ病,牛伝染性リンパ腫,牛ウイルス性下痢,馬インフルエンザ,1,1,アナプラズマ症
8,74,N,74-N-008,「感染症の予防及び感染症の患者に対する医療に関する法律(感染症法)」において獣医師に届出義務があるのはどれか。,伝達性海綿状脳症,炭疽,エキノコックス症,出血性敗血症,ラッサ熱,3,3,エキノコックス症
9,74,N,74-N-009,「と畜場法」においてとさつまたは解体が禁止されているのはどれか。,ニューカッスル病,クリプトスポリジウム症,狂犬病,豚マイコプラズマ性肺炎,パスツレラ症,3,3,狂犬病
10,74,N,74-N-010,食品のリスク評価を行う行政機関はどれか。,農林水産省,総務省,内閣府食品安全委員会,厚生労働省,都道府県,3,3,内閣府食品安全委員会
11,74,N,74-N-011,「食品衛生法」の規定に関する記述として誤っているのはどれか。,異物の混入によりヒトの健康を損なうものは食品として不適格である。,食品のほか、食品に使う器具や容器包装も対象としている。,全ての食品等事業者は HACCP に沿った衛生管理に取り組む必要がある。,厚生労働大臣が食品中の残留農薬等の基準を定める。,食品中の残留基準の対象には飼料添加物は含まれていない。,5,5,食品中の残留基準の対象には飼料添加物は含まれていない。
12,74,N,74-N-012,「獣医師法」に関する内容として正しいのはどれか。,国家試験に合格したら獣医師免許が与えられる。,刑事罰(酒気帯び運転等の罰金以上の刑)を受けた場合、獣医師免許を停止または獣医師免許を取り消されることがある。,犬の診療簿は1年間保存しなければならない。,動物取扱業者から電話で子猫が生まれたとの連絡があり、出生証明書を発行した。,獣医療を日常的に行わない場合、2年ごとの都道府県への届出は必要ない。,2,2,刑事罰(酒気帯び運転等の罰金以上の刑)を受けた場合、獣医師免許を停止または獣医師免許を取り消されることがある。
13,74,N,74-N-013,「獣医療法」に規定されていないのはどれか。,診療施設を開設したら、10日以内に届け出なければならない。,診療施設を廃止したら、10日以内に届け出なければならない。,往診のみの診療を行う場合は、その診療車両を届け出なければならない。,診療施設でエックス線装置を使用する場合は、放射線障害防止措置を講じなければならない。,診療施設の管理は獣医師が行なわなければならない。,3,3,往診のみの診療を行う場合は、その診療車両を届け出なければならない。
14,74,N,74-N-014,「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律(薬機法)」に基づく記述として正しいのはどれか。,この法律の対象には化粧品は含まれない。,獣医師は自己の処方せんにより自ら調剤することができる。,動物用医薬品の規制の所管は厚生労働省である。,動物用医薬品の使用者が遵守すべき基準は成分ごとに定められている。,未承認医薬品の使用は省令で定める例外を除き禁止されている。,5,5,未承認医薬品の使用は省令で定める例外を除き禁止されている。
15,74,N,74-N-015,「愛がん動物用飼料の安全性の確保に関する法律(ペットフード安全法)」で義務付けられている表示に該当しないのはどれか。,名称,賞味期限,製造年月日,原材料名,原産国名,3,3,製造年月日
16,74,N,74-N-016,「身体障害者補助犬法」に関する記述として正しいのはどれか。,身体障害者補助犬とは、盲導犬、聴導犬、てんかん予知犬のことを指す。,身体障害者補助犬は公共交通機関において鉄道には同伴できるが、航空機には同伴できない。,身体障害者補助犬は救急車や病院内には同伴できない。,飲食を伴う施設には身体障害者補助犬を同伴できない。,身体障害者補助犬を同伴して各施設を利用する場合は、同伴する補助犬に関する表示や書類、行動管理の義務がある。,5,5,身体障害者補助犬を同伴して各施設を利用する場合は、同伴する補助犬に関する表示や書類、行動管理の義務がある。
17,74,N,74-N-017,脳神経のうち、三叉神経に含まれるのはどれか。,嗅神経,滑車神経,眼神経,舌咽神経,副神経,3,3,眼神経
18,74,N,74-N-018,歯床板を有する動物はどれか。,牛,馬,豚,猫,ウサギ,1,1,牛
19,74,N,74-N-019,活性化してプロトロンビンをトロンビンに変換する凝固因子はどれか。,第VII因子,第IX因子,第X因子,第XI因子,第XII因子,3,3,第X因子
20,74,N,74-N-020,二酸化炭素が細胞膜を介して移動する仕組みはどれか。,単純拡散,浸透,促進(促通)拡散,能動輸送,エンドサイトーシス,1,1,単純拡散
21,74,N,74-N-021,二糖はどれか。,マンノース,グルコース,ガラクトース,フルクトース,スクロース,5,5,スクロース
23,74,N,74-N-023,非ステロイド系抗炎症薬はどれか。,シメチジン,ケトプロフェン,プロカイン,ジフェンヒドラミン,ブレオマイシン,2,2,ケトプロフェン
24,74,N,74-N-024,抗不整脈薬はどれか。,ジアゼパム,キニジン,ダントロレン,アセプロマジン,ナロキソン,2,2,キニジン
25,74,N,74-N-025,3か月齢以下の幼若犬に関節障害を惹起するのはどれか。,ヘパリン,フェニトイン,オフロキサシン,カナマイシン,プラバスタチン,3,3,オフロキサシン
26,74,N,74-N-026,脳炎や脳傷害の際に出現する桿状細胞の由来はどれか。,星状膠細胞,希突起膠細胞,小膠細胞,上衣細胞,神経細胞,3,3,小膠細胞
27,74,N,74-N-027,風船状変性のみられる疾患はどれか。,鶏痘,副腎皮質機能亢進症,スクレイピー,にくずく肝,甲状腺機能低下症,1,1,鶏痘
28,74,N,74-N-028,牛の IgG に関する記述として正しいのはどれか。,初乳中に含まれる主要な Igクラスである。,血液中で5量体を形成する。,粘膜上皮細胞から分泌される。,即時型アレルギーに関与する。,初回免疫刺激の際に最も早く産生される。,1,1,初乳中に含まれる主要な Igクラスである。
29,74,N,74-N-029,エンベロープを有するウイルス科はどれか。,ノダウイルス科,ポリオーマウイルス科,ヘペウイルス科,アルテリウイルス科,パピローマウイルス科,4,4,アルテリウイルス科
30,74,N,74-N-030,ウイルス感染による家畜の疾患はどれか。,浮腫病,炭疽,伝染性胃腸炎,鼻疽,萎縮性鼻炎,3,3,伝染性胃腸炎
31,74,N,74-N-031,Edward Jenner の業績はどれか。,牛乳の低温殺菌法の発明,顕微鏡の発明,破傷風菌の嫌気培養法の確立,微生物病原説の提唱,種痘の有効性の証明,5,5,種痘の有効性の証明
32,74,N,74-N-032,宿主の肛門周囲や会陰部に産卵する寄生虫はどれか。,葉状条虫(Anoplocephala perfoliata),普通円虫(Strongylus vulgaris),大口馬胃虫(Draschia megastoma),馬蟯虫(Oxyuris equi),馬回虫(Parascaris equorum),4,4,馬蟯虫(Oxyuris equi)
33,74,N,74-N-033,雌の成虫のみが吸血する節足動物はどれか。,ヌカカ類,サシバエ類,マダニ類,シラミ類,ノミ類,1,1,ヌカカ類
34,74,N,74-N-034,「食鳥処理の事業の規制及び食鳥検査に関する法律」の所管省庁はどれか。,環境省,農林水産省,内閣府,厚生労働省,経済産業省,4,4,厚生労働省
35,74,N,74-N-035,「環境基本法」が定める典型7公害に該当しないのはどれか。,海洋汚染,大気汚染,水質汚濁,土壌汚染,地盤沈下,1,1,海洋汚染
36,74,N,74-N-036,2000年~2022年の間に我が国での感染による発生が確認されている人獣共通感染症はどれか。,黄熱,破傷風,ハンタウイルス肺症候群,鼻疽,ペスト,2,2,破傷風
37,74,N,74-N-037,2000年と2010年に我が国で発生した口蹄疫の原因ウイルスの血清型はどれか。,0型,A型,C型,Asial 型,SAT2型,1,1,0型
38,74,N,74-N-038,集団におけるある一時点での罹患個体の割合を示す疫学指標はどれか。,オッズ比,発生率,致命率,有病率,相対リスク,4,4,有病率
39,74,N,74-N-039,犬の永久歯 (犬歯)が萌出する時期はいつか。,20~40日齢,2~3か月齢,4~6か月齢,8~10か月齢,12~15か月齢,3,3,4~6か月齢
40,74,N,74-N-040,犬で心臓の連続性雑音が聴取されるのはどれか。,動脈管開存,肺動脈弁狭窄,心室中隔欠損,僧帽弁閉鎖不全,ファロー四徴症,1,1,動脈管開存
41,74,N,74-N-041,突然死を特徴とする豚の疾患はどれか。,マルベリー心臓病,亜鉛欠乏症,萎縮性鼻炎,滲出性表皮炎,豚赤痢,1,1,マルベリー心臓病
42,74,N,74-N-042,生体組織においてCT値が最も高いのはどれか。,ガス,脂肪,筋肉,水,骨,5,5,骨
43,74,N,74-N-043,放射線による急性障害はどれか。,白血病,発がん,白内障,脱毛,再生不良性貧血,4,4,脱毛
44,74,N,74-N-044,角針での縫合が適する組織はどれか。,消化管,皮膚,筋肉,肝臓,皮下組織,2,2,皮膚
45,74,N,74-N-045,予防的抗菌剤投与が必要ない手術はどれか。,人工材料による胸壁の再建,卵巣子宮摘出術,開放骨折の整復,交通事故による創傷の縫合,結腸切除・吻合術,2,2,卵巣子宮摘出術
46,74,N,74-N-046,しつけ教室を開催するにあたり、社会化期の子犬を対象とすることが重要である。犬の発達ステージの中で社会化期として最も適切なのはどれか。,0~3週齢,3~12週齢,3~6か月齢,6~12か月齢,12~24か月齢,2,2,3~12週齢
48,74,N,74-N-048,単発情動物はどれか。,牛,山羊,馬,豚,犬,5,5,犬
49,74,N,74-N-049,モルモットの妊娠期間として適当なのはどれか。,16日,25日,31日,42日,68日,5,5,68日
50,74,N,74-N-050,真骨魚類の免疫系に含まれるのはどれか。,リンパ節,骨髄,胚中心,脾臓,IgG,4,4,脾臓
1,75,N,75-N-001,隣家で多数の猫を屋外飼養しており、毎年子猫が生まれて困っているとの相談があった。行政機関の動物愛護業務に携わる獣医師が行う飼い主への対応として適当でないのはどれか。,近隣からの苦情を伝え、あとは自己責任で対応するよう伝える。,感染症対策や猫の病気の治療を行っているかを確認する。,不妊去勢手術の必要性について説明し、適正な頭数で飼養するよう伝える。,飼養数を減らすため譲渡先を探すよう伝える。,猫を屋内飼養するよう伝える。,1,1,近隣からの苦情を伝え、あとは自己責任で対応するよう伝える。
2,75,N,75-N-002,インフォームドコンセントに関する記述として最も適切なのはどれか。,診断や治療の内容(効果やリスクなど)について医療者側が専門用語を駆使してよく説明することをいう。,獣医療トラブルを防止するために行うものであり、飼い主との関係構築のためではない。,獣医療行為の効果とリスク、費用に関して十分説明し、理解と合意を得ることである。,伴侶動物においては救命を最優先し、飼い主が苦痛の軽減のための安楽死を望んだとしても獣医師は決して動物の命を奪ってはいけない。,産業動物は経済動物であるため、治療に際し農家の理解を求める必要はない。,3,3,獣医療行為の効果とリスク、費用に関して十分説明し、理解と合意を得ることである。
3,75,N,75-N-003,我が国における動物福祉(アニマルウェルフェア)の考え方に即した家畜の輸送に関する記述として正しいのはどれか。,短時間の輸送であれば特に配慮は必要ない。,長時間の輸送でも乗り物酔い防止のため給餌しない。,区画が十分広ければ、異なる動物種を区分して輸送する必要はない。,輸送中の責任者として獣医師を任命する必要がある。,積込みや積下ろしの際の環境にも配慮する必要がある。,5,5,積込みや積下ろしの際の環境にも配慮する必要がある。
